id,role,role_m,name,squad,price,age,myrating,mate,regularness,fvm,expmf,expprice,expstd
4431,P,Por,Carnesecchi,Atalanta,18,25,4.1,,,80,5.31,52,11
2170,P,Por,Milinkovic-Savic V.,Napoli,17,28,3.7,,,37,5.09,18,5
5841,P,Por,Svilar,Roma,17,26,4.3,,,105,5.44,72,14
6966,P,Por,Butez,Como,16,30,4.1,,,95,5.36,64,12
4312,P,Por,Maignan,Milan,16,30,4.1,,,88,5.31,58,12
5876,P,Por,Di Gregorio,Juventus,15,28,3.5,,,30,4.98,13,4
2134,P,Por,Falcone,Lecce,15,30,3.5,,,35,4.94,17,5
6462,P,Por,Okoye,Udinese,14,26,3.0,,,14,4.67,2,2
2428,P,Por,Sommer,Inter,13,36,3.9,,,60,5.21,36,8
4360,P,Por,Caprile,Cagliari,12,24,3.4,,,20,4.89,6,3
761,P,Por,Audero,Cremonese,12,28,3.2,,,11,4.74,1,2
2521,P,Por,De Gea,Fiorentina,12,34,3.6,,,28,5.01,12,4
4957,P,Por,Montipò,Verona,12,29,2.9,,,5,4.55,1,1
133,P,Por,Skorupski,Bologna,11,34,3.3,,,14,4.8,2,2
2814,P,Por,Provedel,Lazio,11,31,3.1,,,15,4.71,3,2
6641,P,Por,Suzuki,Parma,11,23,3.0,,,8,4.66,1,1
4236,P,Por,Muric,Sassuolo,10,26,3.0,,,6,4.65,1,1
7332,P,Por,Bijlow,Genoa,10,27,3.1,,,10,4.72,1,2
188,P,Por,Leali,Genoa,9,32,2.9,,,1,4.57,1,1
6662,P,Por,Corvi,Parma,9,24,3.0,,,5,4.62,1,1
5320,P,Por,Paleari,Torino,9,33,3.2,,,9,4.76,1,2
218,P,Por,Perin,Juventus,8,32,3.2,,,10,4.76,1,2
572,P,Por,Meret,Napoli,8,28,3.6,,,20,5.0,6,3
4867,P,Por,Turati,Sassuolo,8,23,3.0,,,5,4.61,1,1
2861,P,Por,Semper,Pisa,7,27,2.9,,,3,4.59,1,1
7172,P,Por,Pessina Mas.,Bologna,6,17,2.9,,,2,4.56,1,1
5116,P,Por,Martinez Jo.,Inter,5,27,2.8,,,1,4.53,1,1
7337,P,Por,Motta,Lazio,5,20,3.2,,,15,4.76,3,2
2722,P,Por,Ravaglia F.,Bologna,4,25,2.9,,,3,4.58,1,1
6417,P,Por,Furlanetto,Lazio,3,23,2.8,,,1,4.51,1,1
6403,P,Por,Christensen O.,Fiorentina,2,26,2.8,,,1,4.52,1,1
2297,P,Por,Rossi F.,Atalanta,1,34,2.9,,,1,4.6,1,1
4,P,Por,Sportiello,Atalanta,1,33,2.9,,,1,4.59,1,1
4929,P,Por,Ciocci,Cagliari,1,23,2.8,,,1,4.51,1,1
2809,P,Por,Vigorito,Como,1,35,3.0,,,1,4.62,1,1
6505,P,Por,Nava,Cremonese,1,21,2.8,,,1,4.51,1,1
6991,P,Por,Siegrist,Genoa,1,33,2.9,,,1,4.59,1,1
219,P,Por,Sommariva,Genoa,1,28,2.8,,,1,4.53,1,1
1926,P,Por,Di Gennaro,Inter,1,31,2.9,,,1,4.56,1,1
1930,P,Por,Pinsoglio,Juventus,1,35,3.0,,,1,4.62,1,1
2401,P,Por,Fruchtl,Lecce,1,25,2.8,,,1,4.52,1,1
6523,P,Por,Samooja,Lecce,1,22,2.8,,,1,4.51,1,1
2815,P,Por,Terracciano,Milan,1,35,3.0,,,1,4.62,1,1
6813,P,Por,Torriani,Milan,1,20,2.8,,,1,4.51,1,1
2845,P,Por,Contini,Napoli,1,29,2.8,,,1,4.54,1,1
5338,P,Por,Rinaldi,Parma,1,22,2.8,,,1,4.51,1,1
2271,P,Por,Nicolas,Pisa,1,37,3.0,,,1,4.65,1,1
574,P,Por,Scuffet,Pisa,1,29,2.8,,,1,4.54,1,1
7169,P,Por,Zelezny,Roma,1,18,2.8,,,1,4.52,1,1
610,P,Por,Gollini,Roma,1,30,2.9,,,1,4.55,1,1
2127,P,Por,Satalino,Sassuolo,1,26,2.8,,,1,4.52,1,1
7179,P,Por,Israel,Torino,1,25,2.8,,,1,4.52,1,1
543,P,Por,Padelli,Udinese,1,39,3.1,,,1,4.69,1,1
6842,P,Por,Sava,Udinese,1,23,2.8,,,1,4.51,1,1
511,P,Por,Perilli,Verona,1,30,2.9,,,1,4.55,1,1
7185,P,Por,Nunziante,Udinese,1,18,2.8,,,1,4.52,1,1
158,P,Por,Lezzerini,Fiorentina,1,30,2.9,,,1,4.55,1,1
2211,P,Por,Silvestri,Cremonese,1,34,2.9,,,1,4.6,1,1
7236,P,Por,Toniolo,Verona,1,21,2.8,,,1,4.51,1,1
7261,P,Por,Cavlina,Como,1,23,2.8,,,1,4.51,1,1
7285,P,Por,Ferrante,Napoli,1,19,2.8,,,1,4.51,1,1
7042,P,Por,Calligaris,Inter,1,20,2.8,,,1,4.51,1,1
7301,P,Por,Tornqvist,Como,1,19,2.8,,,1,4.51,1,1
6650,P,Por,Sherri,Cagliari,1,28,2.8,,,1,4.53,1,1
7363,P,Por,Siviero,Torino,1,18,2.8,,,1,4.52,1,1
7382,P,Por,Pannozzo,Lazio,1,17,2.8,,,1,4.52,1,1
7383,P,Por,Giacomone,Lazio,1,17,2.8,,,1,4.52,1,1
254,D,E,Dimarco,Inter,30,27,5.0,,,320,8.5,290,24
2788,D,Dc,Bremer,Juventus,20,28,4.3,,,74,6.48,59,10
5022,D,Dc,Pavlovic,Milan,17,24,4.2,,,60,6.44,46,9
6832,D,E,Palestra,Cagliari,16,20,4.8,,,75,6.75,60,10
6893,D,Dc,Kempf,Como,16,30,3.5,,,18,6.11,8,7
1852,D,Ds;E,Spinazzola,Napoli,16,32,4.1,,,33,6.37,22,7
5526,D,Dc,Scalvini,Atalanta,15,21,3.8,,,22,6.24,12,7
6217,D,Dc,Bisseck,Inter,15,24,4.2,,,41,6.42,29,8
2296,D,Dc,Mancini,Roma,15,29,4.2,,,54,6.46,41,9
5750,D,Dc,Ostigard,Genoa,15,26,4.1,,,50,6.38,37,8
4976,D,Dd;Dc,Kalulu,Juventus,14,25,4.3,,,68,6.49,54,10
4657,D,B;Dd;E,Celik,Roma,14,28,3.6,,,14,6.16,5,6
7181,D,E,Wesley,Roma,14,21,4.5,,,46,6.59,33,8
6956,D,Dc,Solet,Udinese,14,25,4.3,,,55,6.47,42,9
2120,D,Dc,Bastoni,Inter,13,26,4.3,,,40,6.48,28,8
4807,D,Dc,Hermoso,Roma,13,30,3.8,,,25,6.24,14,7
6986,D,B;Dd;E,Rensch,Roma,13,22,3.9,,,17,6.3,7,7
4159,D,Dc,Akanji,Inter,13,30,4.2,,,64,6.44,50,9
554,D,E,Zappacosta,Atalanta,12,33,4.2,,,18,6.45,8,7
5513,D,E,Dumfries,Inter,12,29,4.9,,,56,6.81,42,9
4317,D,Dc,N'Dicka,Roma,12,26,4.1,,,51,6.38,38,9
2160,D,E,Gosens,Fiorentina,11,31,4.3,,,19,6.5,9,7
5514,D,Ds;Dc,Vasquez,Genoa,11,26,4.0,,,26,6.33,15,7
6766,D,Ds;Dc,Kelly L.,Juventus,11,26,3.9,,,27,6.29,16,7
4409,D,Dc,Rrahmani,Napoli,11,31,4.1,,,45,6.39,32,8
5862,D,Ds;E,Valeri,Parma,11,27,4.0,,,22,6.32,12,7
6485,D,Dd;Dc,Kristensen T.,Udinese,11,23,3.5,,,14,6.07,5,6
7211,D,Dd;E,Athekame,Milan,11,20,3.4,,,9,6.01,1,6
5678,D,Dd;E,Holm,Juventus,10,25,3.7,,,8,6.17,1,6
4734,D,Ds;E,Miranda J.,Bologna,10,25,4.0,,,25,6.32,14,7
4994,D,Dd;E,Vojvoda,Como,10,30,3.7,,,12,6.18,3,6
6867,D,Ds;E,Valle,Como,10,21,3.6,,,17,6.12,7,7
5885,D,E,Dodò,Fiorentina,10,26,4.3,,,30,6.5,19,7
2593,D,Ds;E,Martin,Genoa,10,28,3.8,,,11,6.25,2,6
5877,D,B;Ds;E,Carlos Augusto,Inter,10,26,4.2,,,15,6.42,6,6
6989,D,Dc,Tiago Gabriel,Lecce,10,21,3.8,,,25,6.26,14,7
4502,D,Ds;E,Gallo,Lecce,10,28,3.5,,,15,6.09,6,6
6496,D,Ds;E,Bartesaghi,Milan,10,19,3.4,,,15,6.03,6,6
6202,D,Dc,Beukema,Napoli,10,27,3.5,,,10,6.1,1,6
2816,D,Dd;E,Di Lorenzo,Napoli,10,32,4.1,,,28,6.39,17,7
6664,D,B;Dd;E,Delprato,Parma,10,23,4.1,,,22,6.39,12,7
4263,D,Dc,Kabasele,Udinese,10,34,3.7,,,9,6.17,1,6
6869,D,Dc,Ramon,Como,10,20,3.8,,,23,6.24,13,7
7220,D,Dd;E,Belghali,Verona,10,26,3.7,,,12,6.18,3,6
5427,D,Ds;E,Gutierrez,Napoli,10,24,3.6,,,12,6.15,3,6
7329,D,Ds;E,Obrador,Torino,10,21,3.5,,,16,6.11,6,7
4210,D,Dc,Mina,Cagliari,9,30,3.6,,,12,6.15,3,6
